회사명,거래소코드,회계년도,회계년월,회계감사법인,회계년월,기수,감사인,비고,보수(천원),시간구분,총소요시간,내용,회계년월,기수,비고,내용,용역수행기간,보수(천원),계약일
(주)동남합성,023450,2019/12,2019/12,다산회계법인,2019/12,55,다산회계법인,,35000,10,808,"분기,반기,정기재무제표의 검토",,,,,,,
(주)동방,004140,2019/12,2019/12,삼덕회계법인,2019/12,55,삼덕회계법인,,115000,10,1606,"분/반기재무제표검토, 개별재무제표, 연결재무제표에 대한 감사, 내부회계검토",,,,,,,
(주)동방아그로,007590,2019/12,2019/12,재원회계법인,2019/12,48,제원회계법인,,82400,10,916,"반기연결재무제표, 반기재무제표, 연결재무제표, 재무제표",,,,,,,
(주)동산씨앤지,001400,2000/12,,,,,,,,,,,,,,,,,
(주)동서,026960,2019/12,2019/12,삼일회계법인,2019/12,45,삼일회계법인,,190000,10,1947,"분기, 반기, 연간, 연결재무제표 검토",2019/12,45,,세무조정업무 수임계약,19.04.01~20.03.31,18000,20190401
(주)동성,002470,2001/12,,,,,,,,,,,,,,,,,
(주)동성코퍼레이션,102260,2019/12,2019/12,한영회계법인,2019/12,12,한영회계법인,,190000,10,2245,- 반기 검토 - 별도 재무제표 감사 - 연결 재무제표 감사 - 내부회계관리제도 검토,,,,,,,
(주)동성화학,005190,2019/12,2019/12,한영회계법인,2019/12,53,한영회계법인,,125000,10,1436,"반기,별도,내부회계관리제도 등에 대한 감사",2019/12,53,,TP 용역계약서 (BEPS 보고서 작성지원용역),2019.07.09~2019.12.31,15000,20190709
(주)동신,012270,2002/12,,,,,,,,,,,,,,,,,
(주)동아정기,012760,2003/12,,,,,,,,,,,,,,,,,
(주)동아지질,028100,2019/12,2019/12,안진회계법인,2019/12,47,안진회계법인,,160000,10,2033,"반기검토, 기말감사",,,,,,,
(주)동양,001520,2019/12,2019/12,삼정회계법인,2019/12,65,삼정회계법인,,300000,10,3886,분ㆍ반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사,,,,,,,
(주)동양건설산업,005900,2013/12,,,,,,,,,,,,,,,,,
(주)동양고속,084670,2019/12,2019/12,대주회계법인,2019/12,15,대주회계법인,,125000,10,1122,"분기, 반기, 결산 재무제표 감사 및 내부회계관리제도 검토",,,,,,,
(주)동원에프앤비,049770,2019/12,2019/12,한영회계법인,2019/12,20,한영회계법인,,279000,10,3186,별도 및 연결재무제표에 대한 감사,,,,,,,
(주)두산,000150,2019/12,2019/12,한영회계법인,2019/12,83,한영회계법인,,1400000,10,17597,분/반기 재무제표 검토 별도 및 연결 재무제표에 대한 감사 내부관리회계제도의 감사,,,,,,,
(주)두올,016740,2019/12,2019/12,한영회계법인,2019/12,37,EY한영회계법인,,240000,10,2693,"별도, 연결, 반기검토, 내부회계",,,,,,,
(주)드림텍,192650,2019/12,2019/12,삼정회계법인,2019/12,22,삼정회계법인,,200000,10,2623,"재무제표 (K-IFRS)별도 및 연결 반기검토, 별도 및 연결 감사",,,,,,,
(주)디아이,003160,2019/12,2019/12,태성회계법인,2019/12,59,태성회계법인,,98000,10,1280,반기검토 중간감사 재고실사 기말감사 연결감사,2019/12,59,월정액 @3백만원,자문용역,2019.01.01~12.31,36000,20190101
(주)디아이,003160,2019/12,2019/12,태성회계법인,2019/12,59,태성회계법인,,98000,10,1280,반기검토 중간감사 재고실사 기말감사 연결감사,2019/12,59,,세무조정,2019.02.01~03.31,15000,20190101
(주)디아이씨,092200,2019/12,2019/12,성도이현회계법인,2019/12,44,성도이현회계법인,,100000,10,2626,"분,반기검토재무제표, 개별재무제표, 연결재무제표 감사",,,,,,,
(주)디알비동일,004840,2019/12,2019/12,성도이현회계법인,2019/12,54,성도회계법인,,190000,10,2720,"별도재무제표 및 연결재무제표에 대한감사, 반기재무제표검토",,,,,,,
(주)디와이홀딩스,004510,2003/12,,,,,,,,,,,,,,,,,
(주)디티알오토모티브,007340,2019/12,2019/12,안진회계법인,2019/12,49,안진회계법인,,180000,10,2641,제49기 연결 및 별도 회계감사 및 분반기검토,,,,,,,
(주)락앤락,115390,2019/12,2019/12,삼정회계법인,2019/12,15,삼정회계법인,,300000,10,3943,분ㆍ반기검토/기말감사,2019/12,15,,FY18 BEPS 문서화보고서 작성지원,2019.05.23~2019.12.31,25000,20190523
(주)레이디,025840,2001/09,,,,,,,,,,,,,,,,,
(주)로케트전기,000420,2013/12,,,,,,,,,,,,,,,,,
(주)롯데미도파,004010,2011/12,,,,,,,,,,,,,,,,,
(주)마니커,027740,2019/12,2019/12,광교회계법인,2019/12,35,광교회계법인,,90000,10,1179,별도회계감사(분반기포함) 연결회계감사(분반기포함),,,,,,,
(주)만도,204320,2019/12,2019/12,삼일회계법인,2019/12,6,삼일회계법인,2019년 연간 감사보수와 영문보고서 관련 용역을 포함한 금액입니다.,810000,10,7900,"연결 및 별도 재무제표 검토 및 감사, 내부회계관리제도 감사",2019/12,6,,법인세 세무조정업무,2019.08.30~2020.03.31,25000,20190830
(주)만도,204320,2019/12,2019/12,삼일회계법인,2019/12,6,삼일회계법인,2019년 연간 감사보수와 영문보고서 관련 용역을 포함한 금액입니다.,810000,10,7900,"연결 및 별도 재무제표 검토 및 감사, 내부회계관리제도 감사",2019/12,6,,FSE 종합소득세 신고,2019.12.27~2020.06.30,72000,20191227
(주)만도,204320,2019/12,2019/12,삼일회계법인,2019/12,6,삼일회계법인,2019년 연간 감사보수와 영문보고서 관련 용역을 포함한 금액입니다.,810000,10,7900,"연결 및 별도 재무제표 검토 및 감사, 내부회계관리제도 감사",2019/12,6,,세무자문용역(BEPS),2019.07.31~2019.12.31,80000,20190731
(주)메디슨,018360,2001/12,,,,,,,,,,,,,,,,,
(주)메타랩스,090370,2019/12,2019/12,영앤진회계법인,2019/12,20,영앤진회계법인,,120000,10,1692,개별/연결/중간재무제표에 대한 감사,,,,,,,
(주)모나리자,012690,2019/12,2019/12,삼일회계법인,2019/12,43,삼일회계법인,,90000,10,859,"반기검토, 기말감사",,,,,,,
(주)모나미,005360,2019/12,2019/12,성도이현회계법인,2019/12,52,성도이현회계법인,,120000,10,1279,반기검토 기말감사,,,,,,,
